N°,Producto,Marca,Unidad,url,código
335,FRASCO VIDRIO GRAD. AMBAR T/ROSCA GL45,ISOLAB,2000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMSiuoeC_dxDwBvqNqRjW8nK7DW_6GC-EalQ&s,061.02.903
336,FRASCO GOTERO DE VIDRIO TRANSPARENTE,ISOLAB,50 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2uXyf575I4v6-TJdA-YTr9fUu-d5l5FyM0g&s,062.01.050
337,FRASCO GOTERO DE VIDRIO TRANSPARENTE,ISOLAB,100 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2uXyf575I4v6-TJdA-YTr9fUu-d5l5FyM0g&s,062.01.100
338,FRASCO GOTERO DE VIDRIO AMBAR,ISOLAB,50 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlTcM6i7Stotxb5iCTReOEvKOBxRy0niVhLg&s,062.02.050
339,FRASCO GOTERO DE VIDRIO AMBAR,ISOLAB,100 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlTcM6i7Stotxb5iCTReOEvKOBxRy0niVhLg&s,062.02.100
340,FRASCO LAVAOJOS DE SEGURIDAD,ISOLAB,500 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-OUcdrMS1umEpH5qcVco7VpRpk33YcMxAcQ&s,062.05.001
341,FRASCO LAVADOR (PISCETA) P.E.,ISOLAB,250 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUkhZIb4eS4V5-o8WvV21ACMZL4s-s5VF5Hg&s,062.05.250
342,FRASCO LAVADOR (PISCETA) P.E.,ISOLAB,500 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUkhZIb4eS4V5-o8WvV21ACMZL4s-s5VF5Hg&s,062.05.500
343,FRASCO LAVADOR (PISCETA) P.E.,ISOLAB,1000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUkhZIb4eS4V5-o8WvV21ACMZL4s-s5VF5Hg&s,062.05.901
344,FRASCO PESAFILTRO DE VIDRIO FORMA BAJA,ISOLAB,15 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU1eBFPGlmPQKuREKJnPGeaCrCCJwxysbHg&s,037.02.015
345,FRASCO PESAFILTRO DE VIDRIO FORMA BAJA,ISOLAB,30 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU1eBFPGlmPQKuREKJnPGeaCrCCJwxysbHg&s,037.02.030
346,FRASCO PESAFILTRO DE VIDRIO FORMA BAJA,ISOLAB,50 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU1eBFPGlmPQKuREKJnPGeaCrCCJwxysbHg&s,037.02.050
347,FRASCO PESAFILTRO DE VIDRIO FORMA ALTA,ISOLAB,15 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU1eBFPGlmPQKuREKJnPGeaCrCCJwxysbHg&s,037.01.015
348,FRASCO PESAFILTRO DE VIDRIO FORMA ALTA,ISOLAB,30 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU1eBFPGlmPQKuREKJnPGeaCrCCJwxysbHg&s,037.01.030
349,FRASCO PESAFILTRO DE VIDRIO FORMA ALTA,ISOLAB,50 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU1eBFPGlmPQKuREKJnPGeaCrCCJwxysbHg&s,037.01.050
350,FRASCO PESAFILTRO DE VIDRIO FORMA ALTA,ISOLAB,70 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU1eBFPGlmPQKuREKJnPGeaCrCCJwxysbHg&s,037.01.070
